1," ""Don't care"" conditions are when certain combinations of values of variables never occur, and therefore the corresponding output never occurs."
1, A bit near the center of a rotating disk travels past a fixed point slower than a bit on the outside.
1, A branch can be either forward or backward.
1, A combinational circuit consists of n binary inputs and m binary outputs.
1," A computer must be able to process, store, move, and control data."
1, A disadvantage of memory-mapped I/O is that valuable memory address space is used up.
1, A key requirement for PCIe is high capacity to support the needs of higher data rate I/O devices such as Gigabit Ethernet.
1, A multicore computer combines two or more processors on a single piece of silicon.
1, A number of chips can be grouped together to form a memory bank.
1, A number with both an integer and fractional part has digits raised to both positive and negative powers of 10.
1," A particular architecture may span many years and encompass a number of different computer models, its organization changing with changing technology."
1, A potential advantage to having only dedicate L2 caches on the chip is that each core enjoys more rapid access to its private L2 cache.
1, A register is a digital circuit used within the CPU to store one or more bits of data.
1, A removable disk can be removed and replaced with another disk.
1, A set of I/O modules is a key element of a computer system.
1, A static RAM will hold its data as long as power is supplied to it.
1," A typical computer system is equipped with a hierarchy of memory subsystems, some internal to the system and some external."
1, A wafer is made of silicon and is broken up into chips which consists of many gates and/or memory cells plus a number of input and output attachment points.
1, Actual floating-point representations include a special bit pattern to designate zero.
1, Addition and subtraction can be performed on numbers in twos complement notation by treating them as unsigned integers.
1, Addresses are a form of data.
1, All DRAMs require a refresh operation.
1," All of the Pentium processors include two on-chip L1 caches, one for data and one for instructions."
1, Almost all RISC instructions use simple register addressing.
1," Although convenient for computers, the binary system is exceedingly cumbersome for human beings."
1, An advantage of biased representation is that nonnegative floating-point numbers can be treated as integers for comparison purposes.
1, An advantage of using a shared L2 cache on the chip is that data shared by multiple cores is not replicated at the shared cache level.
1, An attractive feature of an SMP is that the existence of multiple processors is transparent to the user.
1, An error-correcting code enhances the reliability of the memory at the cost of added complexity.
1," An I/O channel has the ability to execute I/O instructions, which gives it complete control over I/O operations."
1, An I/O module must recognize one unique address for each peripheral it controls.
1, An interrupt is a hardware-generated signal to the processor.
1, An L1 cache that does not connect directly to the bus cannot engage in a snoopy protocol.
1, An SMP operating system manages processor and other computer resources so that the user perceives a single operating system controlling system resources.
1, Any Boolean function can be implemented in electronic form as a network of gates.
1," ARM processors support data types of 8 (byte), 16 (halfword), and 32 (word) bits in length."
1, ARM provides a versatile virtual memory system architecture that can be tailored to the needs of the embedded system designer.
1," At a top level, a computer consists of CPU, memory, and I/O components."
1, Backward compatible means that the programs written for the older machines can be executed on the new machine.
1," Because all devices on a synchronous bus are tied to a fixed clock rate, the system cannot take advantage of advances in device performance."
1," Because of the inherent binary nature of digital computer components, all forms of data within computers are represented by various binary codes."
1," Because the 82C55A is programmable via the control register, it can be used to control a variety of simple peripheral devices."
1, Both batch multiprogramming and time sharing use multiprogramming.
1, Both clusters and symmetric multiprocessors provide a configuration with multiple processors to support high-demand applications.
1, Both sequential access and direct access involve a shared read-write mechanism.
1, Both sign-magnitude representation and twos complement representation use the most significant bit as a sign bit.
1," Both the structure and functioning of a computer are, in essence, simple."
1, Bus arbitration makes use of vectored interrupts.
1, Changes in technology not only influence organization but also result in the introduction of more powerful and more complex architectures.
1," Combinational circuits are often referred to as ""memoryless"" circuits because their output depends only on their current input and no history of prior inputs is retained."
1," Compared with addition and subtraction, multiplication is a complex operation, whether performed in hardware of software."
1, Computer systems contain a number of different buses that provide pathways between components at various levels of the computer system hierarchy.
1, Computers are classified into generations based on the fundamental hardware technology employed.
1, Condition codes facilitate multiway branches.
1, Database management systems and database applications are one area in which multicore systems can be used effectively.
1, Designers wrestle with the challenge of balancing processor performance with that of main memory and other computer components.
1," Even if an individual application does not scale to take advantage of a large number of threads, it is still possible to gain from multicore architecture by running multiple instances of the application in parallel."
1, Events in the digital computer are synchronized to a clock pulse so that changes occur only when a clock pulse occurs.
1, Flash memory becomes unusable after a certain number of writes.
1," For each 1 on the multiplier, an add and a shift operation are required; but for each 0 only a shift is required."
1, Hexadecimal notation is more compact than binary notation.
1, IBM's System/360 was the industry's first planned family of computers.
1, In a traditional scalar organization there is a single pipelined functional unit for integer operations and one for floating-point operations.
1," In a volatile memory, information decays naturally or is lost when electrical power is switched off."
1," In effect, the Pentium 4 architecture implements a CISC instruction set architecture on a RISC microarchitecture."
